isbn13,title,authors,categories,thumbnail,published_year,average_rating,ratings_count,description
9780006483014,The Once and Future King,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,4.04,2805.0,"A comprehensive volume chronicling the author's complete Arthurian tale, including ""The sword in the stone"" (1939), "" The witch in a union with dragonfly,"" (1940) and finally ""I Will Kill Dragon"" (first published)."
9780006483892,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.7,5083.0,"""New York Times""-bestselling authors Feist and Rosenberg have released the second volume of their Legends of the Riftwar series in the U.S., which is now available for purchase."
9780006483908,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.95,5579.0,"The boy thief of Krondor, Jimmy the Hand, lived in the shadows of the city and had more power than anyone. He became only a pickpocket with potential when he helped Prince Arutha rescue Princess Anita from Duke Guy du Bas-Tyra while running away from ""Black Guy's"" secret police."
9780006486145,Well of Darkness,Margaret Weis;Tracy Hickman,,http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.66,68.0,"The Sovereign Stone's unwavering support from Gareth and his naive young self prevents him from becoming the whipping boy for Prince Dagnarus. Their relationship blossoms into an unbreakable bond, propelling them to become the most powerful and feared of their respective domains until Dagnel becomes a knight in vain who risks causing chaos across the kingdom."
9780006490456,Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995.0,4.05,3908.0,"A Newly-Jacketed Edition is crafted to commemorate the 50th anniversary of Christie S, a flawless witness for the Prosecution and other outstanding plays. It also serves as an ideal complement to the latest Mousetrap and Selected Plays (50th Aniversary Edition)."
9780006496434,The Little House,Philippa Gregory,Country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,3.66,1832.0,"Although it was a simple task for Elizabeth to marry the man she loved, Ruth struggled even as she married her son and realized that she could never match her own abilities. This suspenseful novel examines the desires and fears of women as Ruth struggles to maintain her emotional stability after two failed marriages."
9780006496878,Mystical Paths,Susan Howatch,English fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,4.23,1023.0,"What are the obstacles that Nicholas Darrow encounters in 1968? Can he marry Rosalind while remaining committed to his role as priest, or is it possible for him to break free from his dangerous dependency on his father?"
9780006496892,Glittering Images,Susan Howatch,English fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,4.07,2045.0,"In 1937, Charles Ashworth, a Canon to the Archbishop of Canterbury, is sent to uncover the hidden corruption and self-delusion within the episcopal palace of the charismatic Bishop of Starbridge."
9780006496922,Glamorous Powers,Susan Howatch,Clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,4.2,1441.0,"The Starbridge series, which includes six standalone yet interconnected novels that explore the history of the Church of England through the 20th century, is reissued by the author."
9780006498865,The Mad Ship,Robin Hobb,Fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,4.24,36101.0,"The second volume of Robin Hobb's Liveship Traders trilogy features stunning setbacks in Bingtown, where pirates have become a problem for the coast and the lucrative slave trade continues. Althea Vestrit has an unthinkable plan, but must now resort to hiring specialized vessels to protect her family from treachery."
9780006499169,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,4.29,7815.0,"The story begins with Jack Aubrey returning home from his Mediterranean exploits, where he and Stephen Maturin, a surgeon and secret agent, find peace in England. They start off enjoying life as gentlemen, hunting, and having fun. However, their lives are cut short when Jack is reduced to piety by his peers at the end of the war. He flees to the continent to seek asylum, only to be hunted down as Napoleon becomes an elusive fugitive."
9780006499268,The Reverse of the Medal,Patrick O'Brian,Adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997.0,4.41,177.0,"Jack Aubrey is swayed by a passing acquaintance to invest in New York City upon returning from his role protecting whalers off the coast of South America. He then follows him into the realm of government espionage and the criminal underworld, which is exclusively within his personal domain."
9780006499626,Miss Marple,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997.0,4.2,6235.0,"Miss Marple contributed 20 short stories to various collections in Britain and America. Her story, presented in chronological order, employs her unique perspective to uncover the truth about a series of unsolved crimes."
9780006511489,The Years of Rice and Salt,Kim Stanley Robinson,Black Death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.73,194.0,"The New York Times Book Review has hailed this alternative history of the past 600 years as it begins with the death of almost all Europeans and the rise of China, India, and Islamic rule in the world."
9780006512677,Spares,Michael Marshall Smith,Human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,4.13,2481.0,"The ultimate health insurance for human clones, Spares, is under scrutiny due to the actions of some individuals. Jack Randall's story involves his financial struggles after dropping out of college and becoming too dependent on saving money."
9780006513087,Gravity,Tess Gerritsen,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,4.04,8024.0,"Despite her training as a research physician, Emma Watson has not been informed about the deadly nature of her space mission. As securing an early start, she must contend with the danger of single-celled Archaeon contamination from the deep sea that is spreading rapidly and infecting the crew."
9780006514640,The Wise Woman,Philippa Gregory,Great Britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.31,6583.0,"Alys becomes isolated and abandoned at a nunnery to escape poverty, only to be redirected back into the hereafter cursed by Henry VIII's vandals. With limited resources, she must balance her childhood faith with her instinctive femininity, as she develops ruthless romantic relationships while engaging in witchcraft to win over her lover."
9780006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,3.26,140.0,"'Girls' Night In' is all about growing up, getting out of bed, moving on, falling apart, and finally finding happiness. Don't forget to turn off your phone and snuggle up on the couch for this one-time event."
9780006545866,The White Album,Joan Didion,American essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993.0,4.17,91.0,"This compilation of writings narrates the events that unfolded on the long morning after the 1960s, as everyone was coming back from their specific disaster. Didion observes the dramas that occur during America's collective detox, such as a mother leaving her daughter on Interstate 5, Huey Newton and the Black Panthers preaching from inside their cells, and students simulating the disillusionment of the 60s through unconscious parody."
9780006550433,The Bonesetter's Daughter,Amy Tan,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.98,414.0,"Describes the history of Chinese women for three generations, starting from 1900."
9780006551393,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,3.59,87.0,"Half of the post-Cold War world is focused on creating a better Lexus and optimizing their societies and economies for the global market, while the other half is consumed with internal disputes regarding ownership of specific olive trees and land parcels."
9780006551812,'Tis,Frank McCourt,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,3.68,44179.0,"""Angela's Ashes,"" a book by Frank McCourt that won prestigious awards for its memoirs, has been loved and celebrated by readers worldwide. It was also the recipient of the National Book Critics Circle Award, the ""Los Angeles Times"" Book Award from 2011, and the Pulitzer Prize for Best Book in Australia with two years to go."
9780006646006,Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.5,1.0,"Joe and his parents are enjoying a summer vacation at the Ocean Star Hotel with gleaming blue skies and sunshine, but their hopes of re-entering cloudy weather are dashed as the hotel owner invites them to share in 'the magical world'."
9780006754893,A Small Pinch of Weather,Joan Aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,4.27,116.0,A magical and imaginative compilation of early tales from a highly innovative children's author in the 1900s. Suitable for kids aged 8-11.
9780007103676,Koko,Peter Straub,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.56,7586.0,The psychological horrors of the Vietnam War are explored in Peter Straub's Koko.
9780007105045,Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,4.09,2245.0,"The book 'Tree and Leaf' was originally published in 1964, but it now features the poem Mythopoeia, which is related to the creation of myths."
9780007111503,Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.77,9506.0,"Tommy and Tuppence Beresford, who were previously unemployed for an adventure, have been asked to take over Blunt S International Detective Agency. Following their successful recovery of a pink Pearl, the intriguing cases kept coming on until they were finally caught in A Stabbing on Sunningdale Golf Course; Cryptic homicides that occurred during one of their raids."
9780007113804,Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.89,25692.0,"Amy Leatheran suspected that the Hassanieh excavation in Iraq was being targeted because of the death of Dr. Leidner's wife, referred to as 'Lovely Louise'."
9780007116263,The Lord of the Rings  the Return of the King,Jude Fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,4.59,22.0,"The third installment of the Lord of THE RINGS movie trilogy features a comprehensive guidebook that covers all aspects of characters, locations, landscapes, artifacts from various sources, battle scenes, and attire. It also includes informative text and extra images to enhance the film's visual experience."
9780007117536,All Families are Psychotic,Douglas Coupland,Dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.69,350.0,"On the eve of the next Space Shuttle mission, a divided family gathers as All Families Are Psychotic stars Coupland at her peak in his craft."
9780007119332,Death in the Clouds,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.8,21123.0,A woman is fatally stabbed by a poisoned dart in the enclosed area of.
9780007119356,Appointment with Death,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.86,24859.0,"Hercule Poirot heard a strange remark from his time in Jerusalem: ""It's only now that you can solve this mystery,"" and Mrs Boynton was found dead on the verge of Petra, like he belonged to opulent Amercian royalty."
9780007120680,Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.66,18820.0,"The little girl's claim of witnessing murder is dismissed by others until she reveals her own drowning, and Hercule Poirot sets out to apprehen the culprit."
9780007120697,Hercule Poirot's Christmas,Agatha Christie,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.93,23113.0,"In the dark of night, Simeon Lee is found with his throat cut in his locked bedroom and must confront Hercule Poirot for answers."
9780007120819,The Big Four,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.59,22155.0,"A brutal international cartel is seeking global dominance... In Poirot's bedroom, an uninvited guest was swept with dust and left with a gaunting stare. Was he in shock or tired? And what did the figure 4 represent on the paper mean?"
9780007120864,The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.89,12840.0,"A group of people gather at the Tuesday Night Club to discuss unsolved crimes, including murders and suicides."
9780007120871,They Do it with Mirrors,Agatha Christie,American fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.75,415.0,"Miss Marple's visit to a Victorian mansion, which also functions as rehabilitation center for delinquents, is interrupted by unforeseen events. She discovers that her friend was shot dead in the same incident and remains unharmed."
9780007120963,A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.98,680.0,"Chipping Cleghorn's villagers are stunned by an advertisement in the local newspaper that announces ""A murder has been made known at Little Paddocks at 6.30pm on Friday October 29th. The locals quickly gather at the house, but Miss Marple becomes involved when a man is killed in what appears to be an attempted robbery."
9780007120987,The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.91,23249.0,"Then, one minute later, Heather Badcock had been cradling her feet on the set of her Idol film, Marina Gregg. She suffered a massive seizure, but who was this really for?"
9780007121007,Mrs McGinty's Dead,Agatha Christie,Belgians,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.83,525.0,"Mrs McGinty was brutally murdered in the cottage parlour, resulting in her death. James Bentley, the shifty lodger, faced suspicion and appeared to be uninterested in murdering his widow with all of her blood and hair. Poirot thought he could have saved him, but realized that his own life was now in jeopardy."
9780007121014,Taken at the Flood,Agatha Christie,Fiction,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.71,8852.0,"After tying the knot with an attractive young woman, Gordon Cloade was killed in a bomb blast during the London Blitz. Later on, Hercule Poirot meets The Dead Man's Sister-In-Law who claims to have been informed by Spirit that Mrs Underhay' son is still alive."
9780007121021,The Hollow,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.79,13022.0,"In The Confusion, John Christow Gaslights on Henrietta as he finishes reading Hercule Poirot."
9780007121106,Third Girl,Agatha Christie,Belgians,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.62,13705.0,A befuddled girl suspects that she committed homicide.
9780007122585,The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,3.86,11110.0,A young drifter surprises everyone by agreeing to transport a package to an English rural estate...
9780007124015,The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",,2001.0,4.49,187.0,"The Rings of Power are the means by which Sauron will take control of the world. His only requirement is the Ruling Ring, which Bilbo Baggins has acquired and entrusted to stop him."
9780007126903,The Metaphysical Club,Louis Menand,Cambridge (Mass.),http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,4.07,3311.0,"Menand's account of the Metaphysical Club, a group that met in Cambridge, Massachusetts in 1872 to discuss ideas, is an intriguing narrative that includes pictures and images of individuals."
9780007129652,Wilkins' Tooth,Diana Wynne Jones,Business enterprises,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.59,69.0,"The plan of OWN BACK, PRICE APPROX as easy as it is to transport, all difficult tasks unfinished, and hikes with mountains in the background appeared to be a wonderful idea at its time."
9780007130313,Cut,Patricia McCormick,Emotional problems,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.76,107.0,"At Sea Pines, a treatment center where her parents and doctor took her to find she cut herself, Callie is so quiet that she avoids talking to anyone. Her story is told through dramatic monologues and the family's turmoil that led to her destructive behavior."
9780007136599,The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,4.35,56.0,"Tolkien's timeless fantasy, which centers on the struggle to save Middle-Earth, and the inspiration for Peter Jackson'Stonefinger film trilogy, has been released in Young Reader' s Editions, available both individually and in a three-volume paperback boxed set."
9780007137336,Lirael,Garth Nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,4.3,1339.0,"The Old Kingdom is at risk of being shattered by a perilous necromancer that threatens to unleash their own hidden evil, leading Lirael and Prince Sameth to confront the truth about their true fate. Recommended level: secondary."
9780007149124,Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,4.08,2964.0,"Four Tolkien novellas (""Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major,"" and ""Roverandom"") and one book of poems (""The Adventures of Tom Bombadil"") have been fully illustrated in a single volume for the first time."
9780007149612,Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,4.06,46.0,A young US writer presents a visionary novel called 'The Doors of Perception' that explores the transformation from cynicism to shamanism in an accessible manner.
9780007149827,The Yiddish Policemen's Union,Michael Chabon,Fiction,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007.0,3.7,51219.0,"For sixty years, Jewish refugees and their descendants have thrived in the Federal District of Sitka, a temporary refuge that was established after the Holocaust and the collapse of Israel in 1948. They are proud, grateful (both now residing in Anchorage, Alaska) and longing to be American, and have created their own little world in an active yet diverse frontier city full of Yiddish music."
9780007150304,Beware  Princess Elizabeth,Carolyn Meyer,Children's stories,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.88,78.0,Life or death - and the Throne of England.
9780007151240,The Family Way,Tony Parsons,Parenthood,http://books.google.com/books/content?id=dJEIxdYmnU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,3.51,2095.0,"In Tony Parsons' latest bestseller, three couples discover that Mother Nature can be a bitch."
9780007151677,Endless Night,Agatha Christie,FICTION,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,3.77,12740.0,"Despite the beauty of Gipsy S Acre, Michael Rogers was mesmerized by the dark trees and his desire to build a house."
9780007153589,How to be Alone,Jonathan Franzen,Literary Collections,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,3.6,327.0,"'The Harper's Essay' is reprinted in this volume, along with personal essays and humorous, often comical reportage. Despite its broad scope, each piece deals with the erosion of civic life and private dignity, as well as the concealed existence of loneliness in postmodern America."
9780007154845,The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.72,7514.0,"A mysterious stranger arrives at Mr Satterthwaite's house after midnight, causing him to feel like the party had already begun."
9780007154883,The Listerdale Mystery,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.55,178.0,"A collection of intriguing mysteries, including the mysterious disappearance of Lord Listerdale, a young woman's fear of her ex-partner, an unexpected meeting on ICE train, and gruesome murder mysteries."
9780007158058,The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,http://books.google.com/books/content?id=QfNgQfTKcg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,4.04,183.0,"In 1895, Oscar Wilde engaged in a highly charged romantic relationship with Lord Alfred ""Bosie"" Douglas. The Marquess of Queensberry delivered resentful mail to the Albemarle Club in which they addressed Osie's father, who encouraged him to write. He lost and was later imprisoned with two years of hard labor after being tried twice for gross indecency."
9780007158515,I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",http://books.google.com/books/content?id=oyF8U9BRTQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,4.2,16561.0,The story has been nonsensical for over four years.
9780007158522,Oh  the Places You'll Go!,Dr. Seuss,Adventure stories,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,4.35,926.0,A humorous look at the mishaps and mutilations that life may cause.
9780007162994,If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",http://books.google.com/books/content?id=0qUtSvo_MiEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,3.95,11.0,"The Vietnam War's most exceptional book, reissued in 1970, is believed to be one of the five jewels on the Flamingo backlist."
9780007171996,The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",http://books.google.com/books/content?id=PI9zPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,4.52,253.0,"Frodo and Sam encountered a formidable challenge in their quest to conquer Middle-earth, as Sauron's Dark Lord emerged victorious. They ventured deep into Mordor with Sam before finally taking on the Ring of Power."
9780007173020,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,http://books.google.com/books/content?id=hLH0dtl5NVwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,3.91,49.0,"Designed to take fans of The Hobbit and The Lord of the Rings further into Middle-earth myths and legends, The Silmarillion is an account of what happens during the Elder Days in Tolkien's world."
9780007173136,I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,http://books.google.com/books/content?id=m9cZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,4.16,8903.0,"A boy imagines what his life would be like if he had duck feet, a whale spout and an elephant’s trunk."
